ime,zacetek_kariere,konec_kariere/sedanjost,pozicija,visina,teza,leto_rojstva,v_hall_of_fame,trenutno_v_ligi
Roger Schurig,1968,1968,G,190,84,1942,ne,ne
John Schweitz,1985,1987,G,198,95,1960,ne,ne
Luis Scola,2008,2017,F,206,109,1980,ne,ne
Fred Scolari,1947,1955,G,178,82,1922,ne,ne
Alvin Scott,1978,1985,F-G,201,84,1955,ne,ne
Brent Scott,1997,1997,F-C,208,114,1971,ne,ne
Byron Scott,1984,1997,G,190,89,1961,ne,ne
Charlie Scott,1971,1980,G-F,196,79,1948,da,ne
Dennis Scott,1991,2000,F,203,104,1968,ne,ne
James Scott,1997,1997,F,198,82,1972,ne,ne
Mike Scott,2013,2021,F,201,108,1988,ne,ne
Ray Scott,1962,1972,F-C,206,98,1938,ne,ne
Shawnelle Scott,1997,2002,C,208,114,1972,ne,ne
Tre Scott,2022,2022,F,203,102,1996,ne,ne
Willie Scott,1970,1970,F,196,95,1947,ne,ne
Paul Scranton,1968,1968,F,196,104,1944,ne,ne
Jay Scrubb,2021,2023,G-F,196,100,2000,ne,da
Carey Scurry,1986,1988,F,201,85,1962,ne,ne
Dereon Seabron,2023,2023,G,201,82,2000,ne,da
Bruce Seals,1974,1978,F,203,95,1953,ne,ne
Shea Seals,1998,1998,G,196,95,1975,ne,ne
Malik Sealy,1993,2000,G,203,86,1970,ne,ne
Ed Searcy,1976,1976,F,198,95,1952,ne,ne
Kenny Sears,1956,1964,F,206,90,1933,ne,ne
Wayne See,1950,1950,G,190,86,1923,ne,ne
Thabo Sefolosha,2007,2020,G-F,198,98,1984,ne,ne
Rony Seikaly,1989,1999,C,211,104,1965,ne,ne
Glen Selbo,1950,1950,G-F,190,89,1926,ne,ne
Josh Selby,2012,2013,G,188,83,1991,ne,ne
Wayne Selden,2017,2022,G-F,196,104,1994,ne,ne
Brad Sellers,1987,1993,C-F,213,95,1962,ne,ne
Phil Sellers,1977,1977,F-G,193,89,1953,ne,ne
Rollie Seltz,1950,1950,G-F,178,75,1924,ne,ne
Les Selvage,1968,1970,G,185,79,1943,ne,ne
Frank Selvy,1955,1964,G-F,190,82,1932,ne,ne
Jim Seminoff,1947,1950,G-F,188,86,1922,ne,ne
Mouhamed Sene,2007,2009,C-F,211,104,1986,ne,ne
George Senesky,1947,1954,G,188,81,1922,ne,ne
Alperen Şengün,2022,2023,C-F,206,107,2002,ne,da
Kevin Séraphin,2011,2017,F,206,129,1989,ne,ne
Ansu Sesay,2002,2005,F,206,102,1976,ne,ne
Ramon Sessions,2008,2018,G,190,86,1986,ne,ne
Ha Seung-Jin,2005,2006,C,221,138,1985,ne,ne
Tom Sewell,1985,1985,G,196,84,1962,ne,ne
Collin Sexton,2019,2023,G,185,86,1999,ne,da
Paul Seymour,1948,1960,G-F,185,82,1928,ne,ne
Nick Shaback,1947,1947,G,180,82,1918,ne,ne
Lynn Shackelford,1970,1970,F,196,86,1947,ne,ne
Charles Shackleford,1989,1999,F-C,208,102,1966,ne,ne
Carl Shaeffer,1950,1951,F-G,190,84,1924,ne,ne
Lee Shaffer,1962,1964,F,201,100,1939,ne,ne
Mustafa Shakur,2011,2014,G,190,86,1984,ne,ne
Landry Shamet,2019,2023,G,193,86,1997,ne,da
God Shammgod,1998,1998,G,183,77,1976,ne,ne
Earl Shannon,1947,1949,G-F,180,77,1921,ne,ne
Howie Shannon,1949,1950,G-F,188,79,1923,ne,ne
Chuck Share,1952,1960,C,211,107,1927,ne,ne
Bill Sharman,1951,1961,G,185,79,1926,da,ne
Day'Ron Sharpe,2022,2023,C,211,120,2001,ne,da
Shaedon Sharpe,2023,2023,G,198,91,2003,ne,da
Walter Sharpe,2009,2009,F,206,111,1986,ne,ne
John Shasky,1989,1991,C,211,107,1964,ne,ne
Ron Shavlik,1957,1958,F,203,91,1933,ne,ne
Brian Shaw,1989,2003,G,198,86,1966,ne,ne
Casey Shaw,1999,1999,C,211,118,1975,ne,ne
Marial Shayok,2020,2020,G,196,90,1995,ne,da
Bob Shea,1947,1947,F,188,88,1924,ne,ne
Fred Sheffield,1947,1947,F,188,75,1923,ne,ne
Craig Shelton,1981,1982,F,201,95,1957,ne,ne
Lonnie Shelton,1977,1986,F-C,203,109,1955,ne,ne
Tornike Shengelia,2013,2014,F,206,99,1991,ne,ne
Billy Shepherd,1973,1975,G,178,73,1949,ne,ne
Jeff Sheppard,1999,1999,G,190,86,1974,ne,ne
Steve Sheppard,1978,1979,F,198,98,1954,ne,ne
Ed Sherod,1983,1983,G,188,77,1959,ne,ne
Charley Shipp,1950,1950,G-F,185,91,1913,ne,ne
Paul Shirley,2003,2005,F-C,208,104,1977,ne,ne
Gene Short,1976,1976,F,198,91,1953,ne,ne
Purvis Short,1979,1990,F-G,201,95,1957,ne,ne
Dexter Shouse,1990,1990,G,188,91,1963,ne,ne
Dick Shrider,1949,1949,G,188,86,1923,ne,ne
Gene Shue,1955,1964,G,188,77,1931,ne,ne
John Shumate,1976,1981,F-C,206,107,1952,ne,ne
Iman Shumpert,2012,2021,G,196,98,1990,ne,ne
Alexey Shved,2013,2015,G,198,86,1988,ne,ne
Pascal Siakam,2017,2023,F,206,104,1994,ne,da
Jordan Sibert,2019,2019,G,193,85,1992,ne,ne
Sam Sibert,1973,1973,F,201,98,1949,ne,ne
Mark Sibley,1974,1974,G,188,79,1950,ne,ne
Jerry Sichting,1981,1990,G,185,76,1956,ne,ne
Don Sidle,1969,1972,F-C,203,98,1946,ne,ne
Larry Siegfried,1964,1972,F,190,86,1939,ne,ne
Ralph Siewert,1947,1947,C,216,104,1923,ne,ne
Jack Sikma,1978,1991,C-F,211,104,1955,da,ne
James Silas,1973,1982,G,185,82,1949,ne,ne
Paul Silas,1965,1980,F-C,201,100,1943,ne,ne
Xavier Silas,2012,2018,G,196,93,1988,ne,ne
Garret Siler,2011,2011,C,211,138,1986,ne,ne
Mike Silliman,1971,1971,F,198,102,1944,ne,ne
Chris Silva,2020,2023,F,203,106,1996,ne,da
Wayne Simien,2006,2007,F,206,116,1983,ne,ne
Ben Simmons,2018,2023,G-F,208,109,1996,ne,da
Bobby Simmons,2002,2012,G-F,201,95,1980,ne,ne
Cedric Simmons,2007,2009,F,206,107,1986,ne,ne
Connie Simmons,1947,1956,C-F,203,101,1925,ne,ne
Grant Simmons,1968,1969,G,190,86,1943,ne,ne
Johnny Simmons,1947,1947,G,185,84,1924,ne,ne
Jonathon Simmons,2016,2019,G-F,198,89,1989,ne,ne
Kobi Simmons,2018,2023,G,196,75,1997,ne,da
Lionel Simmons,1991,1997,F-G,201,95,1968,ne,ne
Miles Simon,1999,1999,G,190,92,1975,ne,ne
Walt Simon,1968,1974,F-G,198,91,1939,ne,ne
Marko Simonovic,2022,2023,C,211,98,1999,ne,da
Anfernee Simons,2019,2023,G,190,82,1999,ne,da
Dickey Simpkins,1995,2002,F,206,113,1972,ne,ne
Ralph Simpson,1971,1980,G-F,196,91,1949,ne,ne
Zavier Simpson,2022,2022,G,183,86,1997,ne,da
Alvin Sims,1999,1999,G,193,107,1974,ne,ne
Bob Sims,1962,1968,G-F,196,100,1938,ne,ne
Courtney Sims,2008,2009,C,208,111,1983,ne,ne
Doug Sims,1969,1969,F,201,89,1943,ne,ne
Henry Sims,2013,2016,C,208,113,1990,ne,ne
Jericho Sims,2022,2023,F,208,111,1998,ne,da
Scott Sims,1978,1978,G,185,77,1955,ne,ne
Kyle Singler,2013,2018,F,203,104,1988,ne,ne
Sean Singletary,2009,2009,G,183,84,1985,ne,ne
Chris Singleton,2012,2014,F,203,104,1989,ne,ne
James Singleton,2006,2012,F,203,98,1981,ne,ne
McKinley Singleton,1987,1987,G,196,79,1961,ne,ne
Zeke Sinicola,1952,1954,G,178,75,1929,ne,ne
Deividas Sirvydis,2021,2022,G-F,203,86,2000,ne,da
Charlie Sitton,1985,1985,F,203,95,1962,ne,ne
Peyton Siva,2014,2014,G,183,84,1990,ne,ne
Scott Skiles,1987,1996,G,185,82,1964,ne,ne
Al Skinner,1975,1980,G,190,86,1952,ne,ne
Brian Skinner,1999,2012,F,206,116,1976,ne,ne
Tal Skinner,1975,1976,F-G,196,89,1952,ne,ne
Whitey Skoog,1952,1957,G,180,82,1926,ne,ne
Jeff Slade,1963,1963,F,198,100,1941,ne,ne
Reggie Slater,1995,2003,F,201,98,1970,ne,ne
Jim Slaughter,1952,1952,C,211,95,1928,ne,ne
Jose Slaughter,1983,1983,G,196,93,1960,ne,ne
Tamar Slay,2003,2005,G,203,98,1980,ne,ne
Donald Sloan,2012,2016,G,190,93,1988,ne,ne
Jerry Sloan,1966,1976,G-F,196,89,1942,da,ne
Uroš Slokar,2007,2007,F,208,108,1983,ne,ne
Tom Sluby,1985,1985,G,193,91,1962,ne,ne
Alen Smailagić,2020,2021,F,208,98,2000,ne,da
Javonte Smart,2022,2022,G,193,93,1999,ne,da
Keith Smart,1989,1989,G,185,79,1964,ne,ne
Marcus Smart,2015,2023,G,190,100,1994,ne,da
Belus Smawley,1947,1952,G-F,185,89,1918,ne,ne
Jack Smiley,1949,1950,F-G,190,86,1922,ne,ne
Adrian Smith,1962,1972,G,185,82,1936,ne,ne
Al Smith,1972,1976,G,185,84,1947,ne,ne
Bill Smith,1962,1962,G-F,196,86,1939,ne,ne
Bingo Smith,1970,1980,F-G,196,89,1946,ne,ne
Bobby Smith,1960,1962,G,193,86,1937,ne,ne
Charles Smith,1989,1997,F-C,208,104,1965,ne,ne
Charles Smith,1990,1996,G,185,73,1967,ne,ne
Charles Smith,1998,2006,G,193,88,1975,ne,ne
Chris Smith,1993,1995,G,190,86,1970,ne,ne
Chris Smith,2014,2014,G,188,91,1987,ne,ne
Clinton Smith,1987,1991,F,198,95,1964,ne,ne
Craig Smith,2007,2012,F,201,114,1983,ne,ne
Deb Smith,1947,1947,F,190,82,1920,ne,ne
Dennis Smith Jr.,2018,2023,G,188,93,1997,ne,da
Derek Smith,1983,1991,G-F,198,93,1961,ne,ne
Don Smith,1949,1949,G-F,188,86,1920,ne,ne
Don Smith,1975,1975,G,183,73,1951,ne,ne
Donta Smith,2005,2006,G-F,201,98,1983,ne,ne
Doug Smith,1992,1996,F,208,100,1969,ne,ne
Dru Smith,2023,2023,G,190,92,1997,ne,da
Ed Smith,1954,1954,F,198,82,1929,ne,ne
Elmore Smith,1972,1979,C,213,114,1949,ne,ne
Garfield Smith,1971,1973,C-F,206,107,1945,ne,ne
Greg Smith,1969,1976,F,196,89,1947,ne,ne
Greg Smith,2012,2016,C,208,114,1991,ne,ne
Ish Smith,2011,2023,G,183,79,1988,ne,da
J.R. Smith,2005,2020,G-F,198,102,1985,ne,ne
Jabari Smith,2001,2005,C,211,114,1977,ne,ne
Jabari Smith Jr.,2023,2023,F,208,100,2003,ne,da
Jalen Smith,2021,2023,F,208,98,2000,ne,da
Jason Smith,2008,2019,F-C,213,109,1986,ne,ne
Jerry Smith,2012,2012,G,188,86,1987,ne,ne
Jim Smith,1982,1983,F,206,102,1958,ne,ne
Joe Smith,1996,2011,F,208,102,1975,ne,ne
John Smith,1969,1970,C,213,107,1944,ne,ne
Josh Smith,2005,2018,F,206,102,1985,ne,ne
Keith Smith,1987,1987,G,190,82,1964,ne,ne
Ken Smith,1976,1976,F,201,84,1953,ne,ne
Kenny Smith,1988,1997,G,190,77,1965,ne,ne
LaBradford Smith,1992,1994,G,190,91,1969,ne,ne
Larry Smith,1981,1993,F-C,203,98,1958,ne,ne
Leon Smith,2002,2004,C,208,107,1980,ne,ne
Michael Smith,1990,1995,F,208,102,1965,ne,ne
Michael Smith,1995,2001,F,203,104,1972,ne,ne
Mike Smith,2001,2001,F,203,89,1976,ne,ne
Nolan Smith,2012,2013,G,188,84,1988,ne,ne
Otis Smith,1987,1992,G-F,196,95,1964,ne,ne
Pete Smith,1973,1973,F,198,93,,ne,ne
Phil Smith,1975,1983,G,193,84,1952,ne,ne
Randy Smith,1972,1983,G-F,190,82,1948,ne,ne
Reggie Smith,1993,1994,C,208,109,1970,ne,ne
Robert Smith,1978,1985,G,180,75,1955,ne,ne
Russ Smith,2015,2016,G,183,75,1991,ne,ne
Sam Smith,1968,1971,F,201,104,1944,ne,ne
Sam Smith,1979,1980,G,193,91,1955,ne,ne
Steve Smith,1992,2005,G,201,91,1969,ne,ne
Steven Smith,2007,2007,F,203,107,1983,ne,ne
Stevin Smith,1997,1997,G,188,94,1972,ne,ne
Theron Smith,2004,2005,F,203,102,1980,ne,ne
Tony Smith,1991,2001,G,190,84,1968,ne,ne
William Smith,1972,1973,C,213,100,1949,ne,ne
Willie Smith,1977,1980,G,188,77,1953,ne,ne
Zhaire Smith,2019,2020,G,190,93,1999,ne,da
Rik Smits,1989,2000,C,224,114,1966,ne,ne
Mike Smrek,1986,1992,C,213,114,1962,ne,ne
Joe Smyth,1954,1954,F,190,98,1929,ne,ne
Xavier Sneed,2022,2023,F,196,98,1997,ne,da
Tony Snell,2014,2022,G-F,198,97,1991,ne,ne
Eric Snow,1996,2008,G,190,86,1973,ne,ne
Dick Snyder,1967,1979,G-F,196,94,1944,ne,ne
Kirk Snyder,2005,2008,G,198,102,1983,ne,ne
Chips Sobek,1950,1950,G-F,183,82,1920,ne,ne
Ricky Sobers,1976,1986,G,190,90,1953,ne,ne
Ron Sobie,1957,1960,G,190,84,1934,ne,ne
Jeremy Sochan,2023,2023,F,206,104,2003,ne,da
Mike Sojourner,1975,1977,C-F,206,102,1953,ne,ne
Willie Sojourner,1972,1975,C-F,203,102,1948,ne,ne
Will Solomon,2002,2009,G,185,84,1978,ne,ne
Willie Somerset,1966,1969,G,173,77,1942,ne,ne
Darius Songaila,2004,2011,F,206,113,1978,ne,ne
Dave Sorenson,1971,1973,F,203,102,1948,ne,ne
James Southerland,2014,2014,F,203,98,1990,ne,ne
Gino Sovran,1947,1947,F-G,188,79,1924,ne,ne
Pape Sow,2005,2007,F,208,114,1981,ne,ne
Ken Spain,1971,1971,C,206,102,1946,ne,ne
Ray Spalding,2019,2021,F,208,98,1997,ne,da
Jim Spanarkel,1980,1984,G-F,196,86,1957,ne,ne
Vassilis Spanoulis,2007,2007,G,193,89,1982,ne,ne
Dan Sparks,1969,1970,F,203,91,1945,ne,ne
Guy Sparrow,1958,1960,F,198,99,1932,ne,ne
Rory Sparrow,1981,1992,G,188,79,1958,ne,ne
Odie Spears,1949,1957,G,196,93,1924,ne,ne
Art Spector,1947,1950,F,193,91,1920,ne,ne
Marreese Speights,2009,2018,C-F,208,116,1987,ne,ne
Omari Spellman,2019,2020,F,203,111,1997,ne,da
Andre Spencer,1993,1994,F,198,95,1964,ne,ne
Elmore Spencer,1993,1997,C,213,123,1969,ne,ne
Felton Spencer,1991,2002,C,213,120,1968,ne,ne
Lou Spicer,1947,1947,F,188,89,1922,ne,ne
Craig Spitzer,1968,1968,C,213,102,1945,ne,ne
Tiago Splitter,2011,2017,F-C,211,111,1985,ne,ne
Art Spoelstra,1955,1958,C,206,100,1932,ne,ne
Bruce Spraggins,1968,1968,F,196,85,1939,ne,ne
Latrell Sprewell,1993,2005,G,196,86,1970,ne,ne
Larry Spriggs,1982,1986,F,201,104,1959,ne,ne
Jaden Springer,2022,2023,G,193,93,2002,ne,da
Jim Springer,1949,1949,C,206,107,1926,ne,ne
Jim Spruill,1949,1949,G,188,102,1923,ne,ne
Ryan Stack,1999,2000,F,211,98,1975,ne,ne
Jerry Stackhouse,1996,2013,G-F,198,99,1974,ne,ne
Kevin Stacom,1975,1982,G,190,84,1951,ne,ne
Erv Staggs,1970,1970,F-G,198,89,1948,ne,ne
Bud Stallworth,1973,1977,F-G,196,86,1950,ne,ne
Dave Stallworth,1966,1975,F-C,201,91,1941,ne,ne
Ed Stanczak,1950,1951,F,185,84,1921,ne,ne
Cassius Stanley,2021,2022,G,196,86,1999,ne,da
Terence Stansbury,1985,1987,G,196,77,1961,ne,ne
John Starks,1989,2002,G,190,82,1965,ne,ne
Keith Starr,1977,1977,G-F,198,86,1954,ne,ne
Nik Stauskas,2015,2022,G,198,93,1993,ne,da
Larry Staverman,1959,1964,F,201,93,1936,ne,ne
Larry Steele,1972,1980,G-F,196,82,1949,ne,ne
Matt Steigenga,1997,1997,F,201,102,1970,ne,ne
Vladimir Stepania,1999,2004,C,213,107,1976,ne,ne
D.J. Stephens,2014,2019,G-F,196,85,1990,ne,ne
Everette Stephens,1989,1991,G,188,79,1966,ne,ne
Jack Stephens,1956,1956,G-F,190,84,1933,ne,ne
Joe Stephens,1997,2000,F,201,95,1973,ne,ne
Lance Stephenson,2011,2022,G-F,198,104,1990,ne,ne
Alex Stepheson,2016,2016,F,208,123,1987,ne,ne
Brook Steppe,1983,1989,G-F,196,89,1959,ne,ne
Barry Stevens,1993,1993,G-F,196,89,1963,ne,ne
Lamar Stevens,2021,2023,F,198,104,1997,ne,da
Wayne Stevens,1960,1960,F,190,84,1936,ne,ne
DeShawn Stevenson,2001,2013,G,196,95,1981,ne,ne
Dennis Stewart,1971,1971,F,198,100,1947,ne,ne
Isaiah Stewart,2021,2023,F-C,203,114,2001,ne,da
Kebu Stewart,1998,1998,F,203,109,1973,ne,ne
Larry Stewart,1992,1997,F,203,100,1968,ne,ne
Michael Stewart,1998,2005,C,208,104,1975,ne,ne
Norm Stewart,1957,1957,F,196,93,1935,ne,ne
Greg Stiemsma,2012,2015,C,211,118,1985,ne,ne
Steve Stipanovich,1984,1988,C,211,111,1960,ne,ne
Bryant Stith,1993,2002,G,196,94,1970,ne,ne
Sam Stith,1962,1962,G,188,84,1937,ne,ne
Tom Stith,1963,1963,F,196,95,1939,ne,ne
Alex Stivrins,1986,1993,F,203,100,1962,ne,ne
David Stockton,2015,2018,G,180,75,1991,ne,ne
John Stockton,1985,2003,G,185,77,1962,da,ne
Peja Stojaković,1999,2011,F,208,104,1977,ne,ne
Ed Stokes,1998,1998,C,213,120,1971,ne,ne
Greg Stokes,1986,1990,F-C,208,100,1963,ne,ne
Jarnell Stokes,2015,2017,F-C,206,119,1994,ne,ne
Maurice Stokes,1956,1958,F-C,201,105,1933,da,ne
Art Stolkey,1947,1947,G,185,82,1920,ne,ne
Randy Stoll,1968,1968,C,201,107,,ne,ne
Diamond Stone,2017,2017,C,211,116,1997,ne,ne
George Stone,1969,1972,F,201,89,1946,ne,ne
Julyan Stone,2012,2018,G,198,91,1988,ne,ne
Awvee Storey,2005,2008,G-F,198,101,1977,ne,ne
Damon Stoudamire,1996,2008,G,178,78,1973,ne,ne
Salim Stoudamire,2006,2008,G,185,81,1982,ne,ne
Amar'e Stoudemire,2003,2016,F-C,208,111,1982,ne,ne
Paul Stovall,1973,1974,F,193,98,1948,ne,ne
D.J. Strawberry,2008,2008,G,196,91,1985,ne,ne
Joe Strawder,1966,1968,C,208,107,1940,ne,ne
Bill Stricker,1971,1971,F,206,95,1948,ne,ne
Erick Strickland,1997,2005,G,190,95,1973,ne,ne
Mark Strickland,1995,2003,F,206,95,1970,ne,ne
Rod Strickland,1989,2005,G,190,79,1966,ne,ne
Roger Strickland,1964,1964,F,196,91,1940,ne,ne
John Stroeder,1988,1989,F,208,118,1958,ne,ne
Derek Strong,1992,2001,F,203,100,1968,ne,ne
Lamont Strothers,1992,1993,G,193,86,1968,ne,ne
John Stroud,1981,1981,F,201,98,1957,ne,ne
Red Stroud,1968,1968,G,183,73,1941,ne,ne
Max Strus,2020,2023,G,196,98,1996,ne,da
Rodney Stuckey,2008,2017,G,196,95,1986,ne,ne
Gene Stump,1948,1950,F-G,188,84,1925,ne,ne
Stan Stutz,1947,1949,G-F,178,77,1920,ne,ne
Jalen Suggs,2022,2023,G,193,93,2001,ne,da
Gary Suiter,1971,1971,C-F,206,102,1945,ne,ne
Jared Sullinger,2013,2017,F,206,118,1992,ne,ne
DaJuan Summers,2010,2013,F,203,104,1988,ne,ne
Edmond Sumner,2018,2023,G,193,89,1995,ne,da
Barry Sumpter,1989,1989,F-C,211,98,1965,ne,ne
Don Sunderlage,1954,1955,G,185,82,1929,ne,ne
Bruno Šundov,1999,2005,C,218,100,1980,ne,ne
Jon Sundvold,1984,1992,G,188,77,1961,ne,ne
Bob Sura,1996,2005,G,196,91,1973,ne,ne
Dick Surhoff,1953,1954,F,193,95,1929,ne,ne
George Sutor,1968,1970,C,203,107,1943,ne,ne
Dane Suttle,1984,1985,G,190,86,1961,ne,ne
Greg Sutton,1992,1996,G,188,77,1967,ne,ne
Keith Swagerty,1969,1970,F,201,107,1945,ne,ne
Bennie Swain,1959,1959,F,203,100,1933,ne,ne
Caleb Swanigan,2018,2020,F,206,118,1997,ne,ne
Norm Swanson,1954,1954,F,198,95,1930,ne,ne
Dan Swartz,1963,1963,F,193,98,1934,ne,ne
Mike Sweetney,2004,2007,F,203,125,1982,ne,ne
Cole Swider,2023,2023,F,206,100,1999,ne,da
Robert Swift,2005,2009,C,213,111,1985,ne,ne
Skeeter Swift,1970,1974,G,190,93,1946,ne,ne
Stromile Swift,2001,2009,F,206,102,1979,ne,ne
Aaron Swinson,1995,1995,F,196,104,1971,ne,ne
Craig Sword,2022,2022,G,190,89,1994,ne,da
Pape Sy,2011,2011,F,201,102,1988,ne,ne
Buck Sydnor,1947,1947,G,178,79,1921,ne,ne
Keifer Sykes,2022,2022,G,183,82,1993,ne,da
Larry Sykes,1996,1996,F,206,116,1973,ne,ne
Brett Szabo,1997,1997,C,211,104,1968,ne,ne
Wally Szczerbiak,2000,2009,F,201,111,1977,ne,ne
Walt Szczerbiak,1972,1972,F,198,95,1949,ne,ne
Žan Tabak,1995,2001,C,213,111,1970,ne,ne
Yuta Tabuse,2005,2005,G,175,75,1980,ne,ne
Chris Taft,2006,2006,F,208,118,1985,ne,ne
Sid Tanenbaum,1948,1949,G,183,73,1925,ne,ne
Dragan Tarlać,2001,2001,C,208,118,1973,ne,ne
Roy Tarpley,1987,1995,C-F,211,104,1964,ne,ne
Levern Tart,1968,1971,G-F,188,89,1942,ne,ne
Jae'Sean Tate,2021,2023,F,193,104,1995,ne,da
Earl Tatum,1977,1980,G-F,196,84,1953,ne,ne
Jayson Tatum,2018,2023,F,203,95,1998,ne,da
Edy Tavares,2016,2017,C,221,118,1992,ne,ne
Anthony Taylor,1989,1989,G,193,79,1965,ne,ne
Brian Taylor,1973,1982,G,188,84,1951,ne,ne
Donell Taylor,2006,2007,G,198,82,1982,ne,ne
Fatty Taylor,1970,1977,G,183,79,1946,ne,ne
Fred Taylor,1971,1972,G-F,196,82,1948,ne,ne
Isaiah Taylor,2017,2018,G,190,77,1994,ne,ne
Jay Taylor,1990,1990,G,190,86,1967,ne,ne
Jeff Taylor,1983,1987,G,193,79,1960,ne,ne
Jeff Taylor,2013,2015,F,201,102,1989,ne,ne
Jermaine Taylor,2010,2011,G,193,95,1986,ne,ne
Johnny Taylor,1998,2000,F,206,100,1974,ne,ne
Leonard Taylor,1990,1990,F,203,100,1966,ne,ne
Maurice Taylor,1998,2007,F,206,118,1976,ne,ne
Mike Taylor,2009,2009,G,188,75,1986,ne,ne
Ollie Taylor,1971,1974,G-F,188,88,1947,ne,ne
Ron Taylor,1970,1972,C,216,120,1947,ne,ne
Terry Taylor,2022,2023,G-F,196,104,1999,ne,da
Tyshawn Taylor,2013,2014,G,190,84,1990,ne,ne
Vince Taylor,1983,1983,G-F,196,82,1960,ne,ne
Terry Teagle,1983,1993,F-G,196,89,1960,ne,ne
Jeff Teague,2010,2021,G,190,89,1988,ne,ne
Marquis Teague,2013,2018,G,188,86,1993,ne,ne
Mirza Teletović,2013,2018,F,206,110,1985,ne,ne
Sebastian Telfair,2005,2015,G,183,75,1985,ne,ne
Collis Temple,1975,1975,F,203,100,1952,ne,ne
Garrett Temple,2010,2023,G,196,89,1986,ne,da
Miloš Teodosić,2018,2019,G,196,89,1987,ne,ne
Ira Terrell,1977,1979,F-C,203,91,1954,ne,ne
Jared Terrell,2019,2019,G,190,103,1995,ne,ne
Carlos Terry,1981,1983,G-F,196,95,1956,ne,ne
Chuck Terry,1973,1977,F,198,98,1950,ne,ne
Claude Terry,1973,1978,G-F,193,89,1950,ne,ne
Dalen Terry,2023,2023,G,201,89,2002,ne,da
Emanuel Terry,2019,2022,F,206,100,1996,ne,ne
Jason Terry,2000,2018,G,188,84,1977,ne,ne
Tyrell Terry,2021,2022,G,188,73,2000,ne,da
Jon Teske,2022,2022,C,216,120,1997,ne,ne
Hasheem Thabeet,2010,2014,C,221,119,1987,ne,ne
Tom Thacker,1964,1971,G-F,188,77,1939,ne,ne
Floyd Theard,1970,1970,G,185,77,1944,ne,ne
Daniel Theis,2018,2023,C,203,111,1992,ne,da
Reggie Theus,1979,1991,G,201,86,1957,ne,ne
Peter Thibeaux,1985,1986,F,201,95,1961,ne,ne
Bill Thieben,1957,1958,F-C,201,98,1935,ne,ne
Justus Thigpen,1970,1974,G,185,73,1947,ne,ne
David Thirdkill,1983,1987,F-G,201,89,1960,ne,ne
Adonis Thomas,2014,2014,F,201,91,1993,ne,ne
Billy Thomas,2005,2008,G,193,94,1975,ne,ne
Brodric Thomas,2021,2022,G,196,84,1997,ne,da
Cam Thomas,2022,2023,G,193,95,2001,ne,da
Carl Thomas,1992,1998,G,193,79,1969,ne,ne
Charles Thomas,1992,1992,G,190,79,1969,ne,ne
Etan Thomas,2002,2011,F,206,116,1978,ne,ne
Irving Thomas,1991,1991,F,203,102,1966,ne,ne
Isaiah Thomas,2012,2022,G,175,84,1989,ne,ne
Isiah Thomas,1982,1994,G,185,82,1961,da,ne
Jamel Thomas,2000,2001,F,198,98,1973,ne,ne
James Thomas,2005,2006,F,203,107,1980,ne,ne
Jim Thomas,1984,1991,G,190,86,1960,ne,ne
Joe Thomas,1971,1971,F,198,93,1948,ne,ne
John Thomas,1998,2006,F,206,120,1975,ne,ne
Kenny Thomas,2000,2010,F,201,118,1977,ne,ne
Khyri Thomas,2019,2021,G,190,95,1996,ne,da
Kurt Thomas,1996,2013,F,206,104,1972,ne,ne
Lance Thomas,2012,2020,F,203,109,1988,ne,ne
Malcolm Thomas,2012,2015,F,206,102,1988,ne,ne
Matt Thomas,2020,2022,G,193,86,1994,ne,ne
Ron Thomas,1973,1976,F,198,98,1950,ne,ne
Terry Thomas,1976,1976,F,203,100,1953,ne,ne
Tim Thomas,1998,2010,F,208,104,1977,ne,ne
Tyrus Thomas,2007,2015,F,206,98,1986,ne,ne
Willis Thomas,1968,1968,G,188,84,,ne,ne
Trey Thompkins,2012,2012,F,208,111,1990,ne,ne
Bernard Thompson,1985,1989,F-G,198,95,1962,ne,ne
Billy Thompson,1987,1992,F,201,89,1963,ne,ne
Brooks Thompson,1995,1998,G,193,88,1970,ne,ne
Corny Thompson,1983,1983,F,203,102,1960,ne,ne
David Thompson,1976,1984,G-F,193,89,1954,da,ne
Dijon Thompson,2006,2007,G-F,201,89,1983,ne,ne
George Thompson,1970,1975,G,188,91,1947,ne,ne
Hollis Thompson,2014,2017,G-F,203,94,1991,ne,ne
Jack Thompson,1969,1969,G,185,84,1946,ne,ne
Jason Thompson,2009,2016,F-C,211,114,1986,ne,ne
John Thompson,1965,1966,F,208,102,1941,da,ne
Kevin Thompson,1994,1994,C-F,211,118,1971,ne,ne
Klay Thompson,2012,2023,G-F,198,98,1990,ne,da
LaSalle Thompson,1983,1997,C-F,208,111,1961,ne,ne
Mychal Thompson,1979,1991,C-F,208,103,1955,ne,ne
Mychel Thompson,2012,2012,G,198,96,1988,ne,ne
Paul Thompson,1984,1986,G-F,198,95,1961,ne,ne
Stephen Thompson,1992,1992,G,193,84,1968,ne,ne
Tristan Thompson,2012,2022,F-C,206,115,1991,ne,da
JT Thor,2022,2023,F,208,93,2002,ne,da
Skip Thoren,1968,1970,C,208,104,1943,ne,ne
Rod Thorn,1964,1971,G,193,89,1941,da,ne
