ime,zacetek_kariere,konec_kariere/sedanjost,pozicija,visina,teza,leto_rojstva,v_hall_of_fame,trenutno_v_ligi
Charlie Beasley,1968,1971,G-F,196,86,1945,ne,ne
Jerome Beasley,2004,2004,F,208,108,1980,ne,ne
John Beasley,1968,1974,F-C,206,102,1944,ne,ne
Malik Beasley,2017,2023,G,193,85,1996,ne,da
Michael Beasley,2009,2019,F,206,107,1989,ne,ne
Zelmo Beaty,1963,1975,C,206,102,1939,da,ne
Rodrigue Beaubois,2010,2013,G,183,77,1988,ne,ne
MarJon Beauchamp,2023,2023,G,198,90,2000,ne,da
Byron Beck,1968,1977,C-F,206,102,1945,ne,ne
Corey Beck,1996,1999,G,185,86,1971,ne,ne
Ernie Beck,1954,1961,G-F,193,86,1931,ne,ne
Art Becker,1968,1973,F,201,93,1942,ne,ne
Moe Becker,1947,1947,G-F,185,84,1917,ne,ne
Bob Bedell,1968,1971,F,201,93,1944,ne,ne
William Bedford,1987,1993,C,213,102,1963,ne,ne
Hank Beenders,1947,1949,C-F,198,84,1916,ne,ne
Ron Behagen,1974,1980,F-C,206,84,1951,ne,ne
Elmer Behnke,1952,1952,C,201,95,1929,ne,ne
Marco Belinelli,2008,2020,G-F,196,100,1986,ne,ne
Charlie Bell,2002,2011,G,190,91,1979,ne,ne
Dennis Bell,1974,1976,F,196,84,1951,ne,ne
Jordan Bell,2018,2022,F,203,98,1995,ne,da
Raja Bell,2001,2012,G,196,93,1976,ne,ne
Troy Bell,2004,2004,G,185,82,1980,ne,ne
Whitey Bell,1960,1961,G,183,82,1932,ne,ne
Walt Bellamy,1962,1975,C,211,102,1939,da,ne
DeAndre' Bembry,2017,2022,F,196,95,1994,ne,da
Irv Bemoras,1954,1957,F-G,190,84,1930,ne,ne
Leon Benbow,1975,1976,G,193,84,1950,ne,ne
Dragan Bender,2017,2020,F,213,102,1997,ne,ne
Jonathan Bender,2000,2010,F,211,92,1981,ne,ne
Jerrelle Benimon,2015,2015,F,203,111,1991,ne,ne
Benoit Benjamin,1986,2000,C,213,114,1964,ne,ne
Corey Benjamin,1999,2003,G,198,91,1978,ne,ne
Anthony Bennett,2014,2017,F,203,111,1993,ne,ne
Elmer Bennett,1995,1997,G,183,77,1970,ne,ne
Mario Bennett,1996,2000,F,198,107,1973,ne,ne
Mel Bennett,1976,1982,F,201,91,1955,ne,ne
Spider Bennett,1969,1969,G,190,86,1943,ne,ne
Tony Bennett,1993,1995,G,183,79,1969,ne,ne
Winston Bennett,1990,1992,F,201,95,1965,ne,ne
David Benoit,1992,2001,F,203,100,1968,ne,ne
Keith Benson,2012,2012,C,211,109,1988,ne,ne
Kent Benson,1978,1988,C,208,107,1954,ne,ne
Ben Bentil,2017,2017,F,206,107,1995,ne,ne
Gene Berce,1950,1950,G-F,180,79,1926,ne,ne
Gary Bergen,1957,1957,C,203,95,1932,ne,ne
Larry Bergh,1970,1970,F,203,95,1945,ne,ne
Ricky Berry,1989,1989,F,203,93,1964,ne,ne
Walter Berry,1987,1989,F,203,98,1964,ne,ne
Dairis Bertāns,2019,2019,G,193,91,1989,ne,ne
Dāvis Bertāns,2017,2023,F,208,102,1992,ne,da
Del Beshore,1979,1980,G,180,75,1956,ne,ne
Travis Best,1996,2005,G,180,83,1972,ne,ne
Patrick Beverley,2013,2023,G,185,82,1988,ne,da
Saddiq Bey,2021,2023,F,201,98,1999,ne,da
Tyler Bey,2021,2021,F,201,98,1998,ne,da
Sim Bhullar,2015,2015,C,226,163,1992,ne,ne
Wes Bialosuknia,1968,1968,G,188,84,1945,ne,ne
Al Bianchi,1957,1966,G,190,84,1932,ne,ne
Hank Biasatti,1947,1947,G,180,79,1922,ne,ne
Henry Bibby,1973,1981,G,185,84,1949,ne,ne
Mike Bibby,1999,2012,G,185,86,1978,ne,ne
Ed Biedenbach,1969,1969,G,185,79,1945,ne,ne
Andris Biedriņš,2005,2014,C,211,109,1986,ne,ne
Don Bielke,1956,1956,C,201,109,1932,ne,ne
Bob Bigelow,1976,1979,F-G,201,98,1953,ne,ne
Lionel Billingy,1975,1975,F-C,206,98,1952,ne,ne
Chauncey Billups,1998,2014,G,190,92,1976,ne,ne
Dave Bing,1967,1978,G,190,82,1943,da,ne
Joe Binion,1987,1987,F,203,107,1961,ne,ne
Khem Birch,2018,2023,C-F,206,106,1992,ne,da
Jabari Bird,2018,2018,G,198,90,1994,ne,ne
Jerry Bird,1959,1959,F,198,95,1935,ne,ne
Larry Bird,1980,1992,F,206,100,1956,da,ne
Otis Birdsong,1978,1989,G,190,86,1955,ne,ne
Gale Bishop,1949,1949,F,190,89,1922,ne,ne
Goga Bitadze,2020,2023,C,211,114,1999,ne,da
Bismack Biyombo,2012,2023,C-F,203,116,1992,ne,da
Nemanja Bjelica,2016,2022,F,208,106,1988,ne,ne
Uwe Blab,1986,1990,C,216,114,1962,ne,ne
Charlie Black,1949,1952,F-C,196,91,1921,ne,ne
Norman Black,1981,1981,G,196,84,1957,ne,ne
Tarik Black,2015,2018,C-F,206,114,1991,ne,ne
Tom Black,1971,1971,C,208,100,1941,ne,ne
Rolando Blackman,1982,1994,G,198,86,1959,ne,ne
Alex Blackwell,1993,1993,F,198,114,1970,ne,ne
Cory Blackwell,1985,1985,F,198,95,1963,ne,ne
James Blackwell,1995,1995,G,183,86,1968,ne,ne
Nate Blackwell,1988,1988,G,193,77,1965,ne,ne
DeJuan Blair,2010,2016,F-C,201,123,1989,ne,ne
Steve Blake,2004,2016,G,190,78,1980,ne,ne
Antonio Blakeney,2018,2019,G,193,87,1996,ne,ne
Will Blalock,2007,2007,G,183,93,1983,ne,ne
George Blaney,1962,1962,G,185,79,1939,ne,ne
Lance Blanks,1991,1993,G,193,86,1966,ne,ne
Ricky Blanton,1993,1993,F,201,98,1966,ne,ne
Andray Blatche,2006,2014,F,211,107,1986,ne,ne
Mookie Blaylock,1990,2002,G,183,82,1967,ne,ne
Eric Bledsoe,2011,2022,G,185,97,1989,ne,ne
Keljin Blevins,2021,2022,F,193,91,1995,ne,ne
Leon Blevins,1951,1951,G,188,73,1926,ne,ne
John Block,1967,1976,F-C,206,94,1944,ne,ne
Mike Bloom,1948,1949,F-C,198,86,1915,ne,ne
Jaron Blossomgame,2019,2019,F,203,100,1993,ne,ne
Corie Blount,1994,2004,F,206,109,1969,ne,ne
Mark Blount,2001,2009,C,213,104,1975,ne,ne
Vander Blue,2014,2018,G,193,91,1992,ne,ne
Ray Blume,1982,1982,G,193,84,1958,ne,ne
Nelson Bobb,1950,1953,G,183,77,1924,ne,ne
Tony Bobbitt,2005,2005,G,193,86,1979,ne,ne
Bucky Bockhorn,1959,1965,G,193,91,1933,ne,ne
Buddy Boeheim,2023,2023,G,198,93,1999,ne,da
Tom Boerwinkle,1969,1978,C,213,120,1945,ne,ne
Keith Bogans,2004,2014,G-F,196,98,1980,ne,ne
Bogdan Bogdanović,2018,2023,G,198,100,1992,ne,da
Bojan Bogdanović,2015,2023,G-F,201,103,1989,ne,da
Muggsy Bogues,1988,2001,G,160,62,1965,ne,ne
Andrew Bogut,2006,2019,C,213,118,1984,ne,ne
Etdrick Bohannon,1998,2001,F,206,100,1973,ne,ne
Bol Bol,2020,2023,F-C,218,100,1999,ne,da
Manute Bol,1986,1995,C,231,91,1962,ne,ne
Jonah Bolden,2019,2020,F,203,100,1996,ne,ne
Marques Bolden,2020,2021,C,208,113,1998,ne,da
Bill Bolger,1954,1954,F,196,93,1931,ne,ne
Leandro Bolmaro,2022,2023,F,198,91,2000,ne,da
Joel Bolomboy,2017,2018,F,206,107,1994,ne,ne
Doug Bolstorff,1958,1958,G,193,89,1931,ne,ne
George Bon Salle,1962,1962,F,203,100,1935,ne,ne
Phil Bond,1978,1978,G,188,79,1954,ne,ne
Walter Bond,1993,1995,G,196,91,1969,ne,ne
Jordan Bone,2020,2021,G,188,82,1997,ne,da
Dexter Boney,1997,1997,G,193,84,1970,ne,ne
Isaac Bonga,2019,2022,G,203,82,1999,ne,ne
Ron Bonham,1965,1968,F,196,87,1942,ne,ne
Anthony Bonner,1991,1996,F,203,98,1968,ne,ne
Matt Bonner,2005,2016,F,208,107,1980,ne,ne
Butch Booker,1970,1970,C,208,104,1945,ne,ne
Devin Booker,2016,2023,G,196,94,1996,ne,da
Melvin Booker,1996,1997,G,188,84,1972,ne,ne
Trevor Booker,2011,2018,F,203,104,1987,ne,ne
Josh Boone,2007,2010,F-C,208,108,1984,ne,ne
Ron Boone,1969,1981,G-F,188,91,1946,ne,ne
Calvin Booth,2000,2009,C,211,104,1976,ne,ne
Keith Booth,1998,1999,F,198,103,1974,ne,ne
Bob Boozer,1961,1971,F,203,98,1937,ne,ne
Carlos Boozer,2003,2015,F-C,206,117,1981,ne,ne
Curtis Borchardt,2004,2005,C,213,109,1980,ne,ne
Jake Bornheimer,1949,1950,F-C,196,91,1927,ne,ne
Lazaro Borrell,2000,2000,F,203,100,1972,ne,ne
Ike Borsavage,1951,1951,C-F,203,100,1924,ne,ne
Vince Boryla,1950,1954,F,196,95,1927,ne,ne
Chris Bosh,2004,2016,F-C,211,107,1984,da,ne
Jim Bostic,1978,1978,F,201,102,1953,ne,ne
Brandon Boston Jr.,2022,2023,G-F,201,84,2001,ne,da
Lawrence Boston,1980,1980,F,203,102,1956,ne,ne
Tom Boswell,1976,1984,F-C,206,100,1953,ne,ne
Chris Boucher,2018,2023,F,206,91,1993,ne,da
James Bouknight,2022,2023,G,196,86,2000,ne,da
Ruben Boumtje-Boumtje,2002,2004,C,213,117,1978,ne,ne
Jamaree Bouyea,2023,2023,G,188,82,1999,ne,da
Don Boven,1950,1953,F-G,193,95,1925,ne,ne
Cal Bowdler,2000,2002,F,208,111,1977,ne,ne
Brian Bowen,2020,2021,F,198,86,1998,ne,ne
Bruce Bowen,1997,2009,F,201,84,1971,ne,ne
Ryan Bowen,2000,2010,F,201,98,1975,ne,ne
Tommie Bowens,1968,1970,F-C,203,100,1940,ne,ne
Anthony Bowie,1989,1998,G-F,198,86,1963,ne,ne
Sam Bowie,1985,1995,C-F,216,107,1961,ne,ne
Orb Bowling,1968,1968,C,208,98,1939,ne,ne
Ira Bowman,2000,2002,G,196,89,1973,ne,ne
Ky Bowman,2020,2020,G,185,85,1997,ne,da
